2026-09-18 20:26:53 UTC
16:26  up  8:51, 1 user, load averages: 4.40 4.13 4.48
abuse.py --runtimes run,binary --mo /Users/robertguss/Projects/startups/mo-lang/toolchain/zig-out/bin/mo (Python 3.14.7, OpenSSL 3.6.4 25 Aug 2026)

| runtime | side   | state      | peer sends   | on the wire      | expected                      | the Mo side said              | alive after |      |
| binary  | client | mid-flight | close_notify | alert 1/0 clear  | connect=Handshake             | connect=Handshake             | yes         | pass |
| binary  | client | mid-flight | reset        | RST              | connect=Closed                | connect=Closed                | yes         | pass |
| binary  | client | mid-flight | nothing      | (held open)      | connect=Timeout               | connect=Timeout               | yes         | pass |
| binary  | client | finished   | alert        | encrypted 19 B   | connect=Ok read=Closed        | connect=Ok read=Closed        | yes         | pass |
| binary  | client | finished   | close_notify | encrypted 19 B   | connect=Ok read=None          | connect=Ok read=None          | yes         | pass |
| binary  | client | finished   | reset        | RST              | connect=Ok read=Closed        | connect=Ok read=Closed        | yes         | pass |
| binary  | client | finished   | nothing      | (held open)      | connect=Ok read=Timeout       | connect=Ok read=Timeout       | yes         | pass |

63 of 64 cells pass
2026-09-18 20:27:44 UTC
16:27  up  8:52, 1 user, load averages: 3.38 3.90 4.38
